DATE__
DATE_ISO__
FB_64BIT__
FB_ANDROID__
FB_ARG_COUNT__
FB_ARG_EXTRACT__
FB_ARG_LEFTOF__
FB_ARG_LISTEXPAND__
FB_ARG_RIGHTOF__
FB_ARGC__
FB_ARGV__
FB_ARM__
FB_ASM__
FB_BACKEND__
FB_BIGENDIAN__
FB_BUILD_DATE__
FB_BUILD_DATE_ISO__
FB_BUILD_FORK_ID__
FB_BUILD_SHA1__
FB_CYGWIN__
FB_DARWIN__
FB_DEBUG__
FB_DOS__
FB_ERR__
FB_EVAL__
FB_FPMODE__
FB_FPU__
FB_FREEBSD__
FB_GCC__
FB_GUI__
FB_IIF__
FB_JOIN__
FB_JS__
FB_LANG__
FB_LINUX__
FB_MAIN__
FB_MIN_VERSION__
FB_MT__
FB_NETBSD__
FB_OPENBSD__
FB_OPTIMIZE__
FB_OPTION_BYVAL__
FB_OPTION_DYNAMIC__
FB_OPTION_ESCAPE__
FB_OPTION_EXPLICIT__
FB_OPTION_GOSUB__
FB_OPTION_PRIVATE__
FB_OPTION_PROFILE__
FB_OUT_DLL__
FB_OUT_EXE__
FB_OUT_LIB__
FB_OUT_OBJ__
FB_PCOS__
FB_PPC__
FB_PROFILE__
FB_QUERY_SYMBOL__
FB_QUOTE__
FB_SIGNATURE__
FB_SSE__
FB_UNIQUEID__
FB_UNIQUEID_POP__
FB_UNIQUEID_PUSH__
FB_UNIX__
FB_UNQUOTE__
FB_VECTORIZE__
FB_VER_MAJOR__
FB_VER_MINOR__
FB_VER_PATCH__
FB_VERSION__
FB_WIN32__
FB_X86__
FB_XBOX__
FILE__
FILE_NQ__
FUNCTION__
FUNCTION_NQ__
LINE__
PATH__
TIME__
ASSERT
CMDLINE
DEFINE
ELSE
ELSEIF
ELSEIFDEF
ELSEIFNDEF
ENDIF
ENDMACRO
ERROR
IF
IFDEF
IFNDEF
INCLIB
INCLUDE
LANG
LIBPATH
LINE
MACRO
PRAGMA
PRAGMA RESERVE
PRINT
UNDEF
DYNAMIC
INCLUDE
LANG
STATIC
USING
ABS
ABSTRACT
ACCESS
ACOS
ADD
ALIAS
ALLOCATE
ALPHA
AND
AND=
ANDALSO
ANY
APPEND
ARRAYLEN
ARRAYSIZE
AS
ASC
ASIN
ASM
ASSERT
ASSERTWARN
ATAN2
ATN
BASE
BEEP
BIN
BINARY
BIT
BITRESET
BITSET
BLOAD
BOOLEAN
BSAVE
BYREF
BYTE
BYVAL
CALL
CALLOCATE
CASE
CAST
CBOOL
CBYTE
CDBL
CDECL
CHAIN
CHDIR
CHR
CINT
CIRCLE
CLASS
CLEAR
CLNG
CLNGINT
CLOSE
CLS
COLOR
COMMAND
COMMON
CONDBROADCAST
CONDCREATE
CONDDESTROY
CONDSIGNAL
CONDWAIT
CONST
CONSTRUCTOR
CONTINUE
COS
CPTR
CSHORT
CSIGN
CSNG
CSRLIN
CUBYTE
CUINT
CULNG
CULNGINT
CUNSG
CURDIR
CUSHORT
CUSTOM
CVA_ARG
CVA_COPY
CVA_END
CVA_LIST
CVA_START
CVD
CVI
CVL
CVLONGINT
CVS
CVSHORT
DATA
DATE
DATEADD
DATEDIFF
DATEPART
DATESERIAL
DATEVALUE
DAY
DEALLOCATE
DECLARE
DEFBYTE
DEFDBL
DEFINED
DEFINT
DEFLNG
DEFLONGINT
DEFSHORT
DEFSNG
DEFSTR
DEFUBYTE
DEFUINT
DEFULONGINT
DEFUSHORT
DELETE
DESTRUCTOR
DIM
DIR
DO
DOUBLE
DRAW
DRAW STRING
DYLIBFREE
DYLIBLOAD
DYLIBSYMBOL
ELSE
ELSEIF
ENCODING
END
END IF
ENUM
ENVIRON
EOF
EQV
EQV=
ERASE
ERFN
ERL
ERMN
ERR
ERROR
EVENT
EXEC
EXEPATH
EXIT
EXP
EXPORT
EXTENDS
OR
OR=
ORELSE
OUT
OUTPUT
OVERLOAD
OVERRIDE
PAINT
PALETTE
PASCAL
PCOPY
PEEK
PMAP
POINT
POINTCOORD
POINTER
POKE
POS
PRESERVE
PRESET
PRINT
PRINT #
PRINT USING
PRIVATE
PROCPTR
PROPERTY
PROTECTED
PSET
PTR
TAB
TAN
THEN
THIS
THISCALL
THREADCALL
THREADCREATE
THREADDETACH
THREADSELF
THREADWAIT
TIME
TIMER
TIMESERIAL
TIMEVALUE
TO
TRANS
TRIM
TRUE
TYPE
TYPEOF
WAIT
WBIN
WCHR
WEEKDAY
WEEKDAYNAME
WEND
WHILE
WIDTH
WINDOW
WINDOWTITLE
WINPUT
WITH
WOCT
WRITE
WRITE #
WSTR
WSTRING
XOR
XOR=
YEAR
